name,country,source,rname
Massachusetts Institute of Technology (MIT),,qs,Massachusetts Institute of Technology (MIT)
Stanford University,,qs,Stanford University
Harvard University,,qs,Harvard University
California Institute of Technology (Caltech),,qs,California Institute of Technology (Caltech)
University of Cambridge,,qs,University of Cambridge
University of Oxford,,qs,University of Oxford
UCL (University College London),,qs,UCL (University College London)
Imperial College London,,qs,Imperial College London
University of Chicago,,qs,University of Chicago
ETH Zurich - Swiss Federal Institute of Technology,,qs,ETH Zurich - Swiss Federal Institute of Technology
"Nanyang Technological University, Singapore (NTU)",,qs,"Nanyang Technological University, Singapore (NTU)"
Ecole Polytechnique Fédérale de Lausanne (EPFL),,qs,Ecole Polytechnique Fédérale de Lausanne (EPFL)
Princeton University,,qs,Princeton University
Cornell University,,qs,Cornell University
National University of Singapore (NUS),,qs,National University of Singapore (NUS)
Yale University,,qs,Yale University
Johns Hopkins University,,qs,Johns Hopkins University
Columbia University,,qs,Columbia University
University of Pennsylvania,,qs,University of Pennsylvania
The Australian National University,,qs,The Australian National University
Duke University,,qs,Duke University
University of Michigan,,qs,University of Michigan
King's College London,,qs,King's College London
The University of Edinburgh,,qs,The University of Edinburgh
Tsinghua University,,qs,Tsinghua University
The University of Hong Kong,,qs,The University of Hong Kong
"University of California, Berkeley (UCB)",,qs,"University of California, Berkeley (UCB)"
Northwestern University,,qs,Northwestern University
The University of Tokyo,,qs,The University of Tokyo
The Hong Kong University of Science and Technology,,qs,The Hong Kong University of Science and Technology
University of Toronto,,qs,University of Toronto
McGill University,,qs,McGill University
"University of California, Los Angeles (UCLA)",,qs,"University of California, Los Angeles (UCLA)"
The University of Manchester,,qs,The University of Manchester
London School of Economics and Political Science (LSE),,qs,London School of Economics and Political Science (LSE)
Kyoto University,,qs,Kyoto University
Seoul National University,,qs,Seoul National University
Peking University,,qs,Peking University
"University of California, San Diego (UCSD)",,qs,"University of California, San Diego (UCSD)"
Fudan University,,qs,Fudan University
KAIST - Korea Advanced Institute of Science & Technology,,qs,KAIST - Korea Advanced Institute of Science & Technology
The University of Melbourne,,qs,The University of Melbourne
"Ecole normale supérieure, Paris",,qs,"Ecole normale supérieure, Paris"
University of Bristol,,qs,University of Bristol
The University of New South Wales (UNSW Sydney),,qs,The University of New South Wales (UNSW Sydney)
The Chinese University of Hong Kong (CUHK),,qs,The Chinese University of Hong Kong (CUHK)
Carnegie Mellon University,,qs,Carnegie Mellon University
The University of Queensland,,qs,The University of Queensland
City University of Hong Kong,,qs,City University of Hong Kong
The University of Sydney,,qs,The University of Sydney
University of British Columbia,,qs,University of British Columbia
New York University (NYU),,qs,New York University (NYU)
Brown University,,qs,Brown University
Delft University of Technology,,qs,Delft University of Technology
University of Wisconsin-Madison,,qs,University of Wisconsin-Madison
Tokyo Institute of Technology,,qs,Tokyo Institute of Technology
The University of Warwick,,qs,The University of Warwick
University of Amsterdam,,qs,University of Amsterdam
Ecole Polytechnique,,qs,Ecole Polytechnique
Monash University,,qs,Monash University
University of Washington,,qs,University of Washington
Shanghai Jiao Tong University,,qs,Shanghai Jiao Tong University
Osaka University,,qs,Osaka University
Technical University of Munich,,qs,Technical University of Munich
University of Glasgow,,qs,University of Glasgow
Ludwig-Maximilians-Universität München,,qs,Ludwig-Maximilians-Universität München
University of Texas at Austin,,qs,University of Texas at Austin
Ruprecht-Karls-Universität Heidelberg,,qs,Ruprecht-Karls-Universität Heidelberg
University of Illinois at Urbana-Champaign,,qs,University of Illinois at Urbana-Champaign
Georgia Institute of Technology,,qs,Georgia Institute of Technology
KU Leuven,,qs,KU Leuven
Pohang University of Science And Technology (POSTECH),,qs,Pohang University of Science And Technology (POSTECH)
University of Copenhagen,,qs,University of Copenhagen
University of Zurich,,qs,University of Zurich
Universidad de Buenos Aires (UBA),,qs,Universidad de Buenos Aires (UBA)
National Taiwan University (NTU),,qs,National Taiwan University (NTU)
Tohoku University,,qs,Tohoku University
Durham University,,qs,Durham University
Lund University,,qs,Lund University
"University of North Carolina, Chapel Hill",,qs,"University of North Carolina, Chapel Hill"
Boston University,,qs,Boston University
The University of Auckland,,qs,The University of Auckland
The University of Sheffield,,qs,The University of Sheffield
University of Nottingham,,qs,University of Nottingham
University of Birmingham,,qs,University of Birmingham
The Ohio State University,,qs,The Ohio State University
Zhejiang University,,qs,Zhejiang University
"Trinity College Dublin, The University of Dublin",,qs,"Trinity College Dublin, The University of Dublin"
Rice University,,qs,Rice University
Korea University,,qs,Korea University
University of Alberta,,qs,University of Alberta
University of St Andrews,,qs,University of St Andrews
Pennsylvania State University,,qs,Pennsylvania State University
The University of Western Australia,,qs,The University of Western Australia
Lomonosov Moscow State University,,qs,Lomonosov Moscow State University
The Hong Kong Polytechnic University,,qs,The Hong Kong Polytechnic University
University of Science and Technology of China,,qs,University of Science and Technology of China
KTH Royal Institute of Technology,,qs,KTH Royal Institute of Technology
University of Geneva,,qs,University of Geneva
Washington University in St. Louis,,qs,Washington University in St. Louis
University of Leeds,,qs,University of Leeds
University of Helsinki,,qs,University of Helsinki
University of Southampton,,qs,University of Southampton
Eindhoven University of Technology,,qs,Eindhoven University of Technology
Purdue University,,qs,Purdue University
Yonsei University,,qs,Yonsei University
"KIT, Karlsruhe Institute of Technology",,qs,"KIT, Karlsruhe Institute of Technology"
Sungkyunkwan University (SKKU),,qs,Sungkyunkwan University (SKKU)
Leiden University,,qs,Leiden University
The University of Adelaide,,qs,The University of Adelaide
Utrecht University,,qs,Utrecht University
Uppsala University,,qs,Uppsala University
University of Groningen,,qs,University of Groningen
Nanjing University,,qs,Nanjing University
Universiti Malaya (UM),,qs,Universiti Malaya (UM)
Nagoya University,,qs,Nagoya University
Technical University of Denmark,,qs,Technical University of Denmark
"University of California, Davis",,qs,"University of California, Davis"
Aarhus University,,qs,Aarhus University
Humboldt-Universität zu Berlin,,qs,Humboldt-Universität zu Berlin
Universidade de São Paulo,,qs,Universidade de São Paulo
Hokkaido University,,qs,Hokkaido University
Universidad Nacional Autónoma de México  (UNAM),,qs,Universidad Nacional Autónoma de México  (UNAM)
Wageningen University,,qs,Wageningen University
Freie Universitaet Berlin,,qs,Freie Universitaet Berlin
Ghent University,,qs,Ghent University
Queen Mary University of London,,qs,Queen Mary University of London
Kyushu University,,qs,Kyushu University
"University of Maryland, College Park",,qs,"University of Maryland, College Park"
Université de Montréal,,qs,Université de Montréal
Université Pierre et Marie Curie (UPMC),,qs,Université Pierre et Marie Curie (UPMC)
University of Southern California,,qs,University of Southern California
Chalmers University of Technology,,qs,Chalmers University of Technology
"University of California, Santa Barbara (UCSB)",,qs,"University of California, Santa Barbara (UCSB)"
Lancaster University,,qs,Lancaster University
University of York,,qs,University of York
Aalto University,,qs,Aalto University
Cardiff University,,qs,Cardiff University
Pontificia Universidad Católica de Chile (UC),,qs,Pontificia Universidad Católica de Chile (UC)
McMaster University,,qs,McMaster University
RWTH Aachen University,,qs,RWTH Aachen University
University of Oslo,,qs,University of Oslo
University of Pittsburgh,,qs,University of Pittsburgh
Technische Universität Berlin (TU Berlin),,qs,Technische Universität Berlin (TU Berlin)
The Hebrew University of Jerusalem,,qs,The Hebrew University of Jerusalem
University of Lausanne,,qs,University of Lausanne
Emory University,,qs,Emory University
Erasmus University Rotterdam,,qs,Erasmus University Rotterdam
Michigan State University,,qs,Michigan State University
University of Basel,,qs,University of Basel
University of Otago,,qs,University of Otago
University of Waterloo,,qs,University of Waterloo
Université catholique de Louvain (UCL),,qs,Université catholique de Louvain (UCL)
University of Vienna,,qs,University of Vienna
Hanyang University,,qs,Hanyang University
Universitat de Barcelona,,qs,Universitat de Barcelona
École Normale Supérieure de Lyon,,qs,École Normale Supérieure de Lyon
University of Aberdeen,,qs,University of Aberdeen
The University of Exeter,,qs,The University of Exeter
University of Bath,,qs,University of Bath
National Tsing Hua University,,qs,National Tsing Hua University
Newcastle University,,qs,Newcastle University
University of Minnesota,,qs,University of Minnesota
Eberhard Karls Universität Tübingen,,qs,Eberhard Karls Universität Tübingen
University of Bergen,,qs,University of Bergen
"University of California, Irvine",,qs,"University of California, Irvine"
