name,country,qs_rank,ti_rank,sh_rank,rank,iso2,region,continent,invRank,intRank,rankGroup,Fees,Column1,Column2
Stanford University,United States of America,2,3,2,2.333333333,US,Northern America,Americas,0.428571429,2, 0-50,49617,,
Massachusetts Institute of Technology,United States of America,1,5,4,3.333333333,US,Northern America,Americas,0.3,3, 0-50,49892,,
Harvard University,United States of America,3,6,1,3.333333333,US,Northern America,Americas,0.3,3, 0-50,48859,,
University of Cambridge,United Kingdom of Great Britain and Northern Ireland,5,2,3,3.333333333,GB,Northern Europe,Europe,0.3,3, 0-50,38500,,
University of Oxford,United Kingdom of Great Britain and Northern Ireland,6,1,7,4.666666667,GB,Northern Europe,Europe,0.214285714,5, 0-50,29000,,
California Institute of Technology,United States of America,4,3,9,5.333333333,US,Northern America,Americas,0.1875,5, 0-50,49908,,
Princeton University,United States of America,13,7,6,8.666666667,US,Northern America,Americas,0.115384615,9, 0-50,47140,,
University of Chicago,United States of America,9,9,10,9.333333333,US,Northern America,Americas,0.107142857,9, 0-50,54825,,
UCL,United Kingdom of Great Britain and Northern Ireland,7,,16,11.5,GB,Northern Europe,Europe,0.086956522,12, 0-50,31800,,
ETH Zurich,Switzerland,10,10,19,13,CH,Western Europe,Europe,0.076923077,13, 0-50,1187,,
Yale University,United States of America,16,12,11,13,US,Northern America,Americas,0.076923077,13, 0-50,51400,,
Columbia University,United States of America,18,14,8,13.33333333,US,Northern America,Americas,0.075,13, 0-50,55478,,
Imperial College London,United Kingdom of Great Britain and Northern Ireland,8,8,27,14.33333333,GB,Northern Europe,Europe,0.069767442,14, 0-50,41367,,
University of Pennsylvania,United States of America,19,10,17,15.33333333,US,Northern America,Americas,0.065217391,15, 0-50,53534,,
Cornell University,United States of America,14,19,14,15.66666667,US,Northern America,Americas,0.063829787,16, 0-50,52853,,
Johns Hopkins University,United States of America,17,13,18,16,US,Northern America,Americas,0.0625,16, 0-50,52670,,
"University of California, Berkeley",United States of America,27,18,5,16.66666667,US,Northern America,Americas,0.06,17, 0-50,41942,,
"University of California, Los Angeles",United States of America,33,15,12,20,US,Northern America,Americas,0.05,20, 0-50,41763,,
"University of California, San Francisco",United States of America,,,21,21,US,Northern America,Americas,0.047619048,21, 0-50,50725,,
Duke University,United States of America,21,17,26,21.33333333,US,Northern America,Americas,0.046875,21, 0-50,53500,,
University of Michigan,United States of America,21,21,24,22,US,Northern America,Americas,0.045454545,22, 0-50,47476,,
Northwestern University,United States of America,28,20,22,23.33333333,US,Northern America,Americas,0.042857143,23, 0-50,52678,,
University of Toronto,Canada,31,22,23,25.33333333,CA,Northern America,Americas,0.039473684,25, 0-50,45690,,
University of Edinburgh,United Kingdom of Great Britain and Northern Ireland,23,27,32,27.33333333,GB,Northern Europe,Europe,0.036585366,27, 0-50,32615,,
"University of California, San Diego",United States of America,38,31,15,28,US,Northern America,Americas,0.035714286,28, 0-50,42042,,
University of Tokyo,Japan,28,46,24,32.66666667,JP,Eastern Asia,Asia,0.030612245,33, 0-50,10886,,
