key,type
1,Teaching only
2,Teaching only
3,Teaching only
4,Teaching only
5,Teaching only
6,Teaching only
7,Teaching only
8,Teaching only
9,Teaching only
10,Teaching only
11,Teaching only
12,Teaching only
13,Teaching only
14,Teaching only
15,Teaching only
16,Teaching only
17,Teaching only
18,Teaching only
19,Teaching only
20,Teaching only
21,Teaching only
22,Teaching only
23,Teaching only
24,Teaching only
25,Teaching only
26,Teaching only
27,Teaching only
28,Teaching only
29,Teaching only
30,Teaching only
31,Teaching only
32,Teaching only
33,Teaching only
34,Teaching only
35,Teaching only
36,Teaching only
37,Teaching only
38,Teaching only
39,Teaching only
40,Teaching only
41,Teaching only
42,Teaching only
43,Teaching only
44,Teaching only
45,Teaching only
46,Teaching only
47,Teaching only
48,Teaching only
49,Teaching only
50,Teaching only
51,Teaching only
52,Teaching only
53,Teaching only
54,Teaching only
55,Teaching only
56,Teaching only
57,Teaching only
58,Teaching only
59,Teaching only
60,Teaching only
61,Teaching only
62,Teaching only
63,Teaching only
64,Teaching only
65,Teaching only
66,Teaching only
67,Teaching only
68,Teaching only
69,Teaching only
70,Teaching only
71,Teaching only
72,Teaching only
73,Teaching only
74,Teaching only
75,Teaching only
76,Teaching only
77,Teaching only
78,Teaching only
79,Teaching only
80,Teaching only
81,Teaching only
82,Teaching only
83,Teaching only
84,Teaching only
85,Teaching only
86,Teaching only
87,Teaching only
88,Teaching only
89,Teaching only
90,Teaching only
91,Teaching only
92,Teaching only
93,Teaching only
94,Teaching only
95,Teaching only
96,Teaching only
97,Teaching only
98,Teaching only
99,Teaching only
100,Teaching only
101,Teaching only
102,Teaching only
103,Teaching only
104,Teaching only
105,Teaching only
106,Teaching only
107,Teaching only
108,Teaching only
109,Teaching only
110,Teaching only
111,Teaching only
112,Teaching only
113,Teaching only
114,Teaching only
115,Teaching only
116,Teaching only
117,Teaching only
118,Teaching only
119,Teaching only
120,Teaching only
121,Teaching only
122,Teaching only
123,Teaching only
124,Teaching only
125,Teaching only
126,Teaching only
127,Teaching only
128,Teaching only
129,Teaching only
130,Teaching only
131,Teaching only
132,Teaching only
133,Teaching only
134,Teaching only
135,Teaching only
136,Teaching only
137,Teaching only
138,Teaching only
139,Teaching only
140,Teaching only
141,Teaching only
142,Teaching only
143,Teaching only
144,Teaching only
145,Teaching only
146,Teaching only
147,Teaching only
148,Teaching only
149,Teaching only
150,Teaching only
151,Teaching only
152,Teaching only
153,Teaching only
154,Teaching only
155,Teaching only
156,Teaching only
157,Teaching only
158,Teaching only
159,Teaching only
160,Teaching only
161,Teaching only
162,Teaching only
163,Teaching only
164,Teaching only
165,Teaching only
166,Teaching only
167,Teaching only
168,Teaching only
169,Teaching only
170,Teaching only
171,Teaching only
172,Teaching only
173,Teaching only
174,Teaching only
175,Teaching only
176,Teaching only
177,Teaching only
178,Teaching only
179,Teaching only
180,Teaching only
181,Teaching only
182,Teaching only
183,Teaching only
184,Teaching only
185,Teaching only
186,Teaching only
187,Teaching only
188,Teaching only
189,Teaching only
190,Teaching only
191,Teaching only
192,Teaching only
193,Teaching only
194,Teaching only
195,Teaching only
196,Teaching only
197,Teaching only
198,Teaching only
199,Teaching only
200,Teaching only
201,Teaching only
202,Teaching only
203,Teaching only
204,Teaching only
205,Teaching only
206,Teaching only
207,Teaching only
208,Teaching only
209,Teaching only
210,Teaching only
211,Teaching only
212,Teaching only
213,Teaching only
214,Teaching only
215,Teaching only
216,Teaching only
217,Teaching only
218,Teaching only
219,Teaching only
220,Teaching only
221,Teaching only
222,Teaching only
223,Teaching only
224,Teaching only
225,Teaching only
226,Teaching only
227,Teaching only
228,Teaching only
229,Teaching only
230,Teaching only
231,Teaching only
232,Teaching only
233,Teaching only
234,Teaching only
235,Teaching only
236,Teaching only
237,Teaching only
238,Teaching only
239,Teaching only
240,Teaching only
241,Teaching only
242,Teaching only
243,Teaching only
244,Teaching only
245,Teaching only
246,Teaching only
247,Teaching only
248,Teaching only
249,Teaching only
250,Teaching only
251,Teaching only
252,Teaching only
253,Teaching only
254,Teaching only
255,Teaching only
256,Teaching only
257,Teaching only
258,Teaching only
259,Teaching only
260,Teaching only
261,Teaching only
262,Teaching only
263,Teaching only
264,Teaching only
265,Teaching only
266,Teaching only
267,Teaching only
268,Teaching only
269,Teaching only
270,Teaching only
271,Teaching only
272,Teaching only
273,Teaching only
274,Teaching only
275,Teaching only
276,Teaching only
277,Teaching only
278,Teaching only
279,Teaching only
280,Teaching only
281,Teaching only
282,Teaching only
283,Teaching only
284,Teaching only
285,Teaching only
286,Teaching only
287,Teaching only
288,Teaching only
289,Teaching only
290,Teaching only
291,Teaching only
292,Teaching only
293,Teaching only
294,Teaching only
295,Teaching only
296,Teaching only
297,Teaching only
298,Teaching only
299,Teaching only
300,Teaching only
301,Teaching only
302,Teaching only
303,Teaching only
304,Teaching only
305,Teaching only
306,Teaching only
307,Teaching only
308,Teaching only
309,Teaching only
310,Teaching only
311,Teaching only
312,Teaching only
313,Teaching only
314,Teaching only
315,Teaching only
316,Teaching only
317,Teaching only
318,Teaching only
319,Teaching only
320,Teaching only
321,Teaching only
322,Teaching only
323,Teaching only
324,Teaching only
325,Teaching only
326,Teaching only
327,Teaching only
328,Teaching only
329,Teaching only
330,Teaching only
331,Teaching only
332,Teaching only
333,Teaching only
334,Teaching only
335,Teaching only
336,Teaching only
337,Teaching only
338,Teaching only
339,Teaching only
340,Teaching only
341,Teaching only
342,Teaching only
343,Teaching only
344,Teaching only
345,Teaching only
346,Teaching only
347,Teaching only
348,Teaching only
349,Teaching only
350,Teaching only
351,Teaching only
352,Teaching only
353,Teaching only
354,Teaching only
355,Teaching only
356,Teaching only
357,Teaching only
358,Teaching only
359,Teaching only
360,Teaching only
361,Teaching only
362,Teaching only
363,Teaching only
364,Teaching only
365,Teaching only
366,Teaching only
367,Teaching only
368,Teaching only
369,Teaching only
370,Teaching only
371,Teaching only
372,Teaching only
373,Teaching only
374,Teaching only
375,Teaching only
376,Teaching only
377,Teaching only
378,Teaching only
379,Teaching only
380,Teaching only
381,Teaching only
382,Teaching only
383,Teaching only
384,Teaching only
385,Teaching only
386,Teaching only
387,Teaching only
388,Teaching only
389,Teaching only
390,Teaching only
391,Teaching only
392,Teaching only
393,Teaching only
394,Teaching only
395,Teaching only
396,Teaching only
397,Teaching only
398,Teaching only
399,Teaching only
400,Teaching only
401,Teaching only
402,Teaching only
403,Teaching only
404,Teaching only
405,Teaching only
406,Teaching only
407,Teaching only
408,Teaching only
409,Teaching only
410,Teaching only
411,Teaching only
412,Teaching only
413,Teaching only
414,Teaching only
415,Teaching only
416,Teaching only
417,Teaching only
418,Teaching only
419,Teaching only
420,Teaching only
421,Teaching only
422,Teaching only
423,Teaching only
424,Teaching only
425,Teaching only
426,Teaching only
427,Teaching only
428,Teaching only
429,Teaching only
430,Teaching only
431,Teaching only
432,Teaching only
433,Teaching only
434,Teaching only
435,Teaching only
436,Teaching only
437,Teaching only
438,Teaching only
439,Teaching only
440,Teaching only
441,Teaching only
442,Teaching only
443,Teaching only
444,Teaching only
445,Teaching only
446,Teaching only
447,Teaching only
448,Teaching only
449,Teaching only
450,Teaching only
451,Teaching only
452,Teaching only
453,Teaching only
454,Teaching only
455,Teaching only
456,Teaching only
457,Teaching only
458,Teaching only
459,Teaching only
460,Teaching only
461,Teaching only
462,Teaching only
463,Teaching only
464,Teaching only
465,Teaching only
466,Teaching only
467,Teaching only
468,Teaching only
469,Teaching only
470,Teaching only
471,Teaching only
472,Teaching only
473,Teaching only
474,Teaching only
475,Teaching only
476,Teaching only
477,Teaching only
478,Teaching only
479,Teaching only
480,Teaching only
481,Teaching only
482,Teaching only
483,Teaching only
484,Teaching only
485,Teaching only
486,Teaching only
487,Teaching only
488,Teaching only
489,Teaching only
490,Teaching only
491,Teaching only
