name,country,qs_rank,ti_rank,sh_rank,rank,iso2,region,continent,invRank,intRank,rankGroup,keylocation
Stanford University,USA,2,3,2,2.3333333333333335,US,North America,Americas,0.42857142857142855,2, 0-50,loc_1
Massachusetts Institute of Technology,USA,1,5,4,3.3333333333333335,US,North America,Americas,0.3,3, 0-50,loc_2
Harvard University,USA,3,6,1,3.3333333333333335,US,North America,Americas,0.3,3, 0-50,loc_3
University of Cambridge,UK,5,2,3,3.3333333333333335,GB,Northern Europe,Europe,0.3,3, 0-50,loc_4
University of Oxford,UK,6,1,7,4.666666666666667,GB,Northern Europe,Europe,0.21428571428571427,5, 0-50,loc_5
California Institute of Technology,USA,4,3,9,5.333333333333333,US,North America,Americas,0.1875,5, 0-50,loc_6
Princeton University,USA,13,7,6,8.666666666666666,US,North America,Americas,0.11538461538461539,9, 0-50,loc_7
University of Chicago,USA,9,9,10,9.333333333333334,US,North America,Americas,0.10714285714285714,9, 0-50,loc_8
UCL,UK,7,16,16,13,GB,Northern Europe,Europe,0.07692307692307693,13, 0-50,loc_9
ETH Zurich,Switzerland,10,10,19,13,CH,Western Europe,Europe,0.07692307692307693,13, 0-50,loc_10
Yale University,USA,16,12,11,13,US,North America,Americas,0.07692307692307693,13, 0-50,loc_11
Columbia University,USA,18,14,8,13.333333333333334,US,North America,Americas,0.075,13, 0-50,loc_12
Imperial College London,UK,8,8,27,14.333333333333334,GB,Northern Europe,Europe,0.06976744186046512,14, 0-50,loc_13
University of Pennsylvania,USA,19,10,17,15.333333333333334,US,North America,Americas,0.06521739130434782,15, 0-50,loc_14
Cornell University,USA,14,19,14,15.666666666666666,US,North America,Americas,0.06382978723404256,16, 0-50,loc_15
Johns Hopkins University,USA,17,13,18,16,US,North America,Americas,0.0625,16, 0-50,loc_16
"University of California, Berkeley",USA,27,18,5,16.666666666666668,US,North America,Americas,0.06,17, 0-50,loc_17
"University of California, Los Angeles",USA,33,15,12,20,US,North America,Americas,0.05,20, 0-50,loc_18
"University of California, San Francisco",USA,,,21,21,US,North America,Americas,0.047619047619047616,21, 0-50,loc_19
