lat,lon,name,qs_rank,ti_rank,sh_rank,rank,invRank,EN,DE,FR,IT,ES,PT,RU,ZH,JA,AR
30.018923,31.499674,The American University in Cairo,395,-,-,400,0.002531645569620253,Egypt,Ägypten,Égypte,Egitto,Egipto,Egito,Египет,埃及,エジプト,مصر
41.8348731,-87.6270059,Illinois Institute of Technology,395,-,-,400,0.002531645569620253,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
37.597319,127.057843,HUFS - Hankuk (Korea) University of Foreign Studies,397,-,-,400,0.0025188916876574307,Republic of Korea,Republik Korea,République de Corée,Corea del Sud,República de Corea,República da Coreia,Республика Корея,韩国,大韓民国,كوريا
56.4652485,84.9496823,National Research Tomsk Polytechnic University,386,-,-,390,0.0025906735751295338,Russian Federation,Russische Föderation,Fédération de Russie,Russia,Rusia,Federação Russa,Российская Федерация,俄罗斯,ロシア,روسيا
22.6264249,120.265843,National Sun Yat-sen University,388,-,-,390,0.002577319587628866,"Taiwan, Province of China","Taiwan, Province of China","Taïwan, Province de Chine",Taiwan,Provincia china de Taiwán,"Taiwan, Província da China",Тайвань (провинция Китайской Народной Республики),中国台湾省,台湾、中国の省,مقاطعة تايوان الصينية
-37.8221504,145.0389546,Swinburne University of Technology,425.5,-,350.5,390,0.002577319587628866,Australia,Australien,Australie,Australia,Australia,Austrália,Австралия,澳大利亚,オーストラリア,أستراليا
41.8077414,-72.2539805,University of Connecticut,425.5,-,350.5,390,0.002577319587628866,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
24.200588,55.676034,United Arab Emirates University,390,-,-,390,0.002564102564102564,United Arab Emirates,Vereinigte Arabische Emirate,Émirats arabes unis,Emirati Arabi Uniti,Emiratos Árabes Unidos,Emirados Árabes Unidos,Объединенные Арабские Эмираты,阿拉伯联合酋长国,アラブ首長国連邦,الإمارات العربية المتحدة
53.385062,-6.2567865,Dublin City University,391,-,-,390,0.0025575447570332483,Ireland,Irland,Irlande,Irlanda,Irlanda,Irlanda,Ирландия,爱尔兰,アイルランド,أيرلندا
24.9694808,121.1925163,National Central University,391,-,-,390,0.0025575447570332483,"Taiwan, Province of China","Taiwan, Province of China","Taïwan, Province de Chine",Taiwan,Provincia china de Taiwán,"Taiwan, Província da China",Тайвань (провинция Китайской Народной Республики),中国台湾省,台湾、中国の省,مقاطعة تايوان الصينية
24.4373484,118.097855,Xiamen University,435.5,-,350.5,390,0.002544529262086514,China,China,Chine,Cina,China,China,Китай,中国,中国,الصين
61.4497952,23.8586408,Tampere University of Technology,380,-,-,380,0.002631578947368421,Finland,Finnland,Finlande,Finlandia,Finlandia,Finlândia,Финляндия,芬兰,フィンランド,فنلندا
55.9096602,-3.3203494,Heriot-Watt University,312,-,450.5,380,0.002622950819672131,United Kingdom,Vereinigtes Königreich,Royaume-Uni,Regno Unito,Reino Unido,Reino Unido,Британия,英国,英国,المملكة المتحدة
56.3173389,44.0672315,National Research University – Higher School of Economics,382,-,-,380,0.002617801047120419,Russian Federation,Russische Föderation,Fédération de Russie,Russia,Rusia,Federação Russa,Российская Федерация,俄罗斯,ロシア,روسيا
42.364989,-71.258663,Brandeis University,415.5,-,350.5,380,0.0026109660574412533,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
52.2403463,21.0186012,University of Warsaw,415.5,-,350.5,380,0.0026109660574412533,Poland,Polen,Pologne,Polonia,Polonia,Polônia,Польша,波兰,ポーランド,بولندا
35.7012897,139.764451,Tokyo Medical and Dental University,367,-,-,370,0.0027247956403269754,Japan,Japan,Japon,Giappone,Japón,Japão,Япония,日本,日本,اليابان
14.5979292,121.0107556,University of the Philippines,367,-,-,370,0.0027247956403269754,Philippines,Philippinen,Philippines,Filippine,Filipinas,Filipinas,Филиппины,菲律宾,フィリピン,الفلبين
69.679788,18.9710079,University of Tromsø,367,-,-,370,0.0027247956403269754,Norway,Norwegen,Norvège,Norvegia,Noruega,Noruega,Норвегия,挪威,ノルウェー,النرويج
55.3689827,10.4282364,University of Southern Denmark,384,-,350.5,370,0.002722940776038121,Denmark,Dänemark,Danemark,Danimarca,Dinamarca,Dinamarca,Дания,丹麦,デンマーク,الدنمارك
40.573436,-105.0865473,Colorado State University,485.5,-,250.5,370,0.002717391304347826,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
47.4321575,9.3755673,University of St.Gallen,372,-,-,370,0.002688172043010753,Switzerland,Schweiz,Suisse,Svizzera,Suiza,Suíça,Швейцария,瑞士,スイス,سويسرا
39.7463895,-105.0023325,University of Colorado Denver,394,-,350.5,370,0.002686366689053056,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
52.4868584,-1.8882174,Aston University,373,-,-,370,0.002680965147453083,United Kingdom,Vereinigtes Königreich,Royaume-Uni,Regno Unito,Reino Unido,Reino Unido,Британия,英国,英国,المملكة المتحدة
55.6728244,37.4846619,Moscow State Institute of International Relations,373,-,-,370,0.002680965147453083,Russian Federation,Russische Föderation,Fédération de Russie,Russia,Rusia,Federação Russa,Российская Федерация,俄罗斯,ロシア,روسيا
55.649567,37.6638742,National Research Nuclear University,373,-,-,370,0.002680965147453083,Russian Federation,Russische Föderation,Fédération de Russie,Russia,Rusia,Federação Russa,Российская Федерация,俄罗斯,ロシア,روسيا
51.2968974,1.0682493,University of Kent,373,-,-,370,0.002680965147453083,United Kingdom,Vereinigtes Königreich,Royaume-Uni,Regno Unito,Reino Unido,Reino Unido,Британия,英国,英国,المملكة المتحدة
37.5618577,126.9468294,Ewha Womans University,299,-,450.5,370,0.00266844563042028,Republic of Korea,Republik Korea,République de Corée,Corea del Sud,República de Corea,República da Coreia,Республика Корея,韩国,大韓民国,كوريا
55.9297243,37.5199434,Moscow Institute of Physics and Technology,355,-,-,360,0.0028169014084507044,Russian Federation,Russische Föderation,Fédération de Russie,Russia,Rusia,Federação Russa,Российская Федерация,俄罗斯,ロシア,روسيا
