name,rank,Fees,qs_rank,ti_rank,sh_rank,region,invRank,EN,DE,FR,IT,ES,PT,RU,ZH,JA,AR
Stanford University,2.3,49617,2,3,2,Northern America,0.42857142857142855,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
Massachusetts Institute of Technology,3.3,49892,1,5,4,Northern America,0.3,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
Harvard University,3.3,48859,3,6,1,Northern America,0.3,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
University of Cambridge,3.3,38500,5,2,3,Northern Europe,0.3,United Kingdom,Vereinigtes Königreich,Royaume-Uni,Regno Unito,Reino Unido,Reino Unido,Британия,英国,英国,المملكة المتحدة
University of Oxford,4.7,29e3,6,1,7,Northern Europe,0.21428571428571427,United Kingdom,Vereinigtes Königreich,Royaume-Uni,Regno Unito,Reino Unido,Reino Unido,Британия,英国,英国,المملكة المتحدة
California Institute of Technology,5.3,49908,4,3,9,Northern America,0.1875,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
Princeton University,8.7,47140,13,7,6,Northern America,0.11538461538461539,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
University of Chicago,9.3,54825,9,9,10,Northern America,0.10714285714285714,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
UCL,13,31800,7,16,16,Northern Europe,0.08695652173913043,United Kingdom,Vereinigtes Königreich,Royaume-Uni,Regno Unito,Reino Unido,Reino Unido,Британия,英国,英国,المملكة المتحدة
ETH Zurich,13,1187,10,10,19,Western Europe,0.07692307692307693,Switzerland,Schweiz,Suisse,Svizzera,Suiza,Suíça,Швейцария,瑞士,スイス,سويسرا
